text,label
"শহরের মধ্যে খুব শব্দ দূষণ হচ্ছে, আমি সত্যিই রেগে গেছি!",No
"আমার মামা সিঁড়ি বেয়ে উঠতে গেলে অনেক সময় পা নাড়াতে পারেন না, অনেক যন্ত্রণা করে",Yes
"এতটা অভিমান কেন? আমি কিছুটা সাহায্য চেয়েছিলাম, কিন্তু কেউ আমার পাশে ছিল না। সব কিছু একে একে ভেঙে পড়ছে, আর আমি সত্যিই রেগে গেছি। আজকের দিনটা ছিল একেবারে অস্থির।",No
আজ আমি অনেক ভেঙে পড়েছি। আমার সব পরিকল্পনা ভেঙে গেছে।,No
আমার মায়ের সারা শরীরে পানি আসছে,Yes
আমার মাথায় গোটা বের হয়েছে আর এগুলো অনেক চুল্কায় বিচির মত বের হয়।,Yes
আমার আব্বুর শরীরের জয়েন্টে জয়েন্টে অনেক ব্যথা করে। ,Yes
আজকের টিভি শো দেখে আমি বেশ কিছুটা মন খারাপ হয়ে গেছি!,No
"আজ স্কুলে একটি বড় সেলিব্রেশন ছিল, সবাই খুব আনন্দিত ছিল!",No
এই দিনটি আমার জন্য সত্যিই বিশেষ।,No
আজকের দিনটা আমার জন্য খুবই আনন্দদায়ক।,No
আমার কানের শ্রবন শক্তি কমে গিয়েছে মনে হচ্ছে কথা শুনতে কষ্ট হয়,Yes
"তুমি আমার জীবনের সবচেয়ে সুন্দর উপহার। প্রতিটি মুহূর্ত তোমার সঙ্গে কাটানো আমার জন্য অমূল্য। তুমি আমার হৃদয়ে এক অদ্ভুত সুখ এনে দিয়েছ, আর আমি চাই, আমাদের এই ভালোবাসা চিরকাল থাকুক।",No
আমার মাড়িতে পুঁজের মত জমেছে,Yes
আমার মুখে গোটা উঠে মুখে কালো দাগ পরে যাচ্ছে।,Yes
আমার মেয়ের অনেক ঠান্ডা লেগেছে আর সর্দি পরছে। আর খাবারের কোনো স্বাদ পাচ্ছে না।,Yes
তুমি আমার কথা কেন বুঝতে চাও না? খুব রাগ হচ্ছে!,No
আমার দাদুর হার্টে ব্লক ধরা পরেছিল। রিং পরানোর পরেও দাদুর বুকে ব্যথা করে,Yes
আজ ঐতিহাসিক মন্দিরের অবস্থা দেখে খুব রাগ লাগছে!,No
আমার মামার মাথার পিছনের দিকে অনেক ব্যথা করে,Yes
আজকের দিনটা আমার জন্য খুবই আনন্দময়। সবকিছু যেন ঠিকঠাক হয়ে যাচ্ছে।,No
আমার ছেলের অনেক জ্বর এবং সারা শরীরে গোটা উঠেছে ,Yes
"আমার বাবা সিঁড়ি বেয়ে উঠতে গেলে অনেক সময় পা নাড়াতে পারে না, অনেক যন্ত্রণা করে।",Yes
আমার নিয়মিত পিরিয়ড হয় না। আর সবসময় এক রঙের রক্ত বের হয় না।,Yes
আমার শরীর ব্যথা হয়ে অনেক জ্বর আসে,Yes
আমার মেয়ের নিপল অনেক চুল্কায় এবং সাদা ময়লার মত বের হয়।,Yes
আজ আমি অনেক নিঃস্ব লাগছে।,No
